ID;Idade;GrupoIdade;Rotatividade;Viagem;HoraTrabalhada;Departamento;DistanciaCasa;Educacao;AreadeAtuacao;ContagemEmpregados;NumeroEmpregados;SatisfacaoAmbiental;Gênero;TaxaHoraria;InvolvimentoTrabalho;NivelTrabalho;CargoTrabalho;SatisfacaoTrabalho;EstadoCivil;RendaMensal;PisoSalarial;TaxaMensal;NumEmpresasTrabalhadas;AcimaDe18;HoraExtra;PercentualdeAumentoSalarial;AvaliacaoDesempenho;SatisfacaoRelacionamento;HorarioPadrao;ComprarAcoes;AnosTrabalhados;TempodeTreinoAnoPassado;BalancaPessoal;AnosDeEmpresa;AnosNoCargoAtual;AnosDesdeAUtilmaPromocao;AnosComoDiretor
RM172;19;18-25;Sim;Viaja_Frequentemente;602;Vendas;1;1;Graduação Técnica;1;235;3;Feminino;100;1;1;Representativo de Vendas;1;Solteiro;2325;Ate 5k;20989;0;Sim;Não;21;4;1;80;0;1;5;4;0;0;0;0
RM178;19;18-25;Sim;Viaja_Raramente;303;Pesquisa e Desenvolvimento;2;3;Ciências Humanas;1;243;2;Masculino;47;2;1;Técnico de laboratório;4;Solteiro;1102;Ate 5k;9241;1;Sim;Não;22;4;3;80;0;1;3;2;1;0;1;0
RM423;19;18-25;Sim;Viaja_Raramente;489;Recursos Humanos;2;2;Graduação Técnica;1;566;1;Masculino;52;2;1;Recursos Humanos;4;Solteiro;2564;Ate 5k;18437;1;Sim;Não;12;3;3;80;0;1;3;4;1;0;0;0
RM689;19;18-25;Sim;Viaja_Raramente;419;Vendas;21;3;Outro;1;959;4;Masculino;37;2;1;Representativo de Vendas;2;Solteiro;2121;Ate 5k;9947;1;Sim;Sim;13;3;2;80;0;1;3;4;1;0;0;0
RM854;19;18-25;Não;Viaja_Raramente;645;Pesquisa e Desenvolvimento;9;2;Ciências Humanas;1;1193;3;Masculino;54;3;1;Cientista Pesquisador;1;Solteiro;2552;Ate 5k;7172;1;Sim;Não;25;4;3;80;0;1;4;3;1;1;0;0
RM893;19;18-25;Sim;Não_Viaja;504;Pesquisa e Desenvolvimento;10;3;Médica;1;1248;1;Feminino;96;2;1;Cientista Pesquisador;2;Solteiro;1859;Ate 5k;6148;1;Sim;Sim;25;4;2;80;0;1;2;4;1;1;0;0
RM910;19;18-25;Não;Viaja_Raramente;265;Pesquisa e Desenvolvimento;25;3;Ciências Humanas;1;1269;2;Feminino;57;4;1;Cientista Pesquisador;4;Solteiro;2994;Ate 5k;21221;1;Sim;Sim;12;3;4;80;0;1;2;3;1;0;0;1
RM103;20;18-25;Sim;Viaja_Frequentemente;871;Pesquisa e Desenvolvimento;6;3;Ciências Humanas;1;137;4;Feminino;66;2;1;Técnico de laboratório;4;Solteiro;2926;Ate 5k;19783;1;Sim;Sim;18;3;2;80;0;1;5;3;1;0;1;0
RM488;20;18-25;Não;Viaja_Raramente;959;Pesquisa e Desenvolvimento;1;3;Ciências Humanas;1;657;4;Feminino;83;2;1;Cientista Pesquisador;2;Solteiro;2836;Ate 5k;11757;1;Sim;Não;13;3;4;80;0;1;0;4;1;0;0;0
RM514;20;18-25;Sim;Viaja_Raramente;1362;Pesquisa e Desenvolvimento;10;1;Médica;1;701;4;Masculino;32;3;1;Cientista Pesquisador;3;Solteiro;1009;Ate 5k;26999;1;Sim;Sim;11;3;4;80;0;1;5;3;1;0;1;1
RM663;20;18-25;Sim;Viaja_Raramente;500;Vendas;2;3;Médica;1;922;3;Feminino;49;2;1;Representativo de Vendas;3;Solteiro;2044;Ate 5k;22052;1;Sim;Não;13;3;4;80;0;2;3;2;2;2;0;2
RM690;20;18-25;Sim;Viaja_Raramente;129;Pesquisa e Desenvolvimento;4;3;Graduação Técnica;1;960;1;Masculino;84;3;1;Técnico de laboratório;1;Solteiro;2973;Ate 5k;13008;1;Sim;Não;19;3;2;80;0;1;2;3;1;0;0;0
RM732;20;18-25;Sim;Viaja_Raramente;1097;Pesquisa e Desenvolvimento;11;3;Médica;1;1016;4;Feminino;98;2;1;Cientista Pesquisador;1;Solteiro;2600;Ate 5k;18275;1;Sim;Sim;15;3;1;80;0;1;2;3;1;0;0;0
RM777;20;18-25;Sim;Viaja_Frequentemente;769;Vendas;9;3;Marketing;1;1077;4;Feminino;54;3;1;Representativo de Vendas;4;Solteiro;2323;Ate 5k;17205;1;Sim;Sim;14;3;2;80;0;2;3;3;2;2;0;2
RM857;20;18-25;Não;Viaja_Raramente;805;Pesquisa e Desenvolvimento;3;3;Ciências Humanas;1;1198;1;Masculino;87;2;1;Técnico de laboratório;3;Solteiro;3033;Ate 5k;12828;1;Sim;Não;12;3;1;80;0;2;2;2;2;2;1;2
RM877;20;18-25;Não;Viaja_Raramente;654;Vendas;21;3;Marketing;1;1226;3;Masculino;43;4;1;Representativo de Vendas;4;Solteiro;2678;Ate 5k;5050;1;Sim;Não;17;3;4;80;0;2;2;3;2;1;2;2
RM1179;20;18-25;Não;Viaja_Raramente;1141;Vendas;2;3;Médica;1;1657;3;Feminino;31;3;1;Representativo de Vendas;3;Solteiro;2783;Ate 5k;13251;1;Sim;Não;19;3;1;80;0;2;3;3;2;2;2;2
RM1198;20;18-25;Não;Viaja_Raramente;727;Vendas;9;1;Ciências Humanas;1;1680;4;Masculino;54;3;1;Representativo de Vendas;1;Solteiro;2728;Ate 5k;21082;1;Sim;Não;11;3;1;80;0;2;3;3;2;2;0;2
RM024;21;18-25;Não;Viaja_Raramente;391;Pesquisa e Desenvolvimento;15;2;Ciências Humanas;1;30;3;Masculino;96;3;1;Cientista Pesquisador;4;Solteiro;1232;Ate 5k;19281;1;Sim;Não;14;3;4;80;0;0;6;3;0;0;0;
RM275;21;18-25;Não;Viaja_Raramente;996;Pesquisa e Desenvolvimento;3;2;Médica;1;379;4;Masculino;100;2;1;Cientista Pesquisador;3;Solteiro;3230;Ate 5k;10531;1;Sim;Não;17;3;1;80;0;3;4;4;3;2;1;0
RM358;21;18-25;Sim;Viaja_Frequentemente;756;Vendas;1;1;Graduação Técnica;1;478;1;Feminino;99;2;1;Representativo de Vendas;2;Solteiro;2174;Ate 5k;9150;1;Sim;Sim;11;3;3;80;0;3;3;3;3;2;1;2
RM363;21;18-25;Não;Não_Viaja;895;Vendas;9;2;Médica;1;484;1;Masculino;39;3;1;Representativo de Vendas;4;Solteiro;2610;Ate 5k;2851;1;Sim;Não;24;4;3;80;0;3;3;2;3;2;2;
RM371;21;18-25;Sim;Viaja_Raramente;156;Vendas;12;3;Ciências Humanas;1;494;3;Feminino;90;4;1;Representativo de Vendas;2;Solteiro;2716;Ate 5k;25422;1;Sim;Não;15;3;4;80;0;1;0;3;1;0;0;0
RM497;21;18-25;Não;Viaja_Raramente;1343;Vendas;22;1;Graduação Técnica;1;669;3;Masculino;49;3;1;Representativo de Vendas;3;Solteiro;3447;Ate 5k;24444;1;Sim;Não;11;3;3;80;0;3;2;3;3;2;1;2
RM664;21;18-25;Sim;Viaja_Raramente;1427;Pesquisa e Desenvolvimento;18;1;Outro;1;923;4;Feminino;65;3;1;Cientista Pesquisador;4;Solteiro;2693;Ate 5k;8870;1;Sim;Não;19;3;1;80;0;1;3;2;1;0;0;0
RM778;21;18-25;Sim;Viaja_Raramente;1334;Pesquisa e Desenvolvimento;10;3;Ciências Humanas;1;1079;3;Feminino;36;2;1;Técnico de laboratório;1;Solteiro;1416;Ate 5k;17258;1;Sim;Não;13;3;1;80;0;1;6;2;1;0;1;0
RM816;21;18-25;Não;Viaja_Raramente;984;Pesquisa e Desenvolvimento;1;1;Graduação Técnica;1;1131;4;Feminino;70;2;1;Cientista Pesquisador;2;Solteiro;2070;Ate 5k;25326;1;Sim;Sim;11;3;3;80;0;2;6;4;2;2;2;2
RM916;21;18-25;Sim;Viaja_Frequentemente;251;Pesquisa e Desenvolvimento;10;2;Ciências Humanas;1;1279;1;Feminino;45;2;1;Técnico de laboratório;3;Solteiro;2625;Ate 5k;25308;1;Sim;Não;20;4;3;80;0;2;2;1;2;2;2;2
RM1153;21;18-25;Não;Viaja_Raramente;546;Pesquisa e Desenvolvimento;5;1;Médica;1;1623;3;Masculino;97;3;1;Cientista Pesquisador;4;Solteiro;3117;Ate 5k;26009;1;Sim;Não;18;3;3;80;0;3;2;3;2;2;2;2
RM1272;21;18-25;Sim;Viaja_Raramente;337;Vendas;7;1;Marketing;1;1780;2;Masculino;31;3;1;Representativo de Vendas;2;Solteiro;2679;Ate 5k;4567;1;Sim;Não;13;3;2;80;0;1;3;3;1;0;1;0
RM1437;21;18-25;Não;Viaja_Raramente;501;Vendas;5;1;Médica;1;2021;3;Masculino;58;3;1;Representativo de Vendas;1;Solteiro;2380;Ate 5k;25479;1;Sim;Sim;11;3;4;80;0;2;6;3;2;2;1;2
RM018;22;18-25;Não;Não_Viaja;1123;Pesquisa e Desenvolvimento;16;2;Médica;1;22;4;Masculino;96;4;1;Técnico de laboratório;4;Divorciado;2935;Ate 5k;7324;1;Sim;Sim;13;3;2;80;2;1;2;2;1;0;0;0
RM110;22;18-25;Não;Viaja_Raramente;534;Pesquisa e Desenvolvimento;15;3;Médica;1;144;2;Feminino;59;3;1;Técnico de laboratório;4;Solteiro;2871;Ate 5k;23785;1;Sim;Não;15;3;3;80;0;1;5;3;0;0;0;0
RM129;22;18-25;Não;Viaja_Raramente;594;Pesquisa e Desenvolvimento;2;1;Graduação Técnica;1;169;3;Masculino;100;3;1;Técnico de laboratório;4;Casado;2523;Ate 5k;19299;0;Sim;Não;14;3;3;80;1;3;2;3;2;1;2;1
RM161;22;18-25;Não;Viaja_Raramente;1256;Pesquisa e Desenvolvimento;19;1;Médica;1;217;3;Masculino;80;3;1;Cientista Pesquisador;4;Casado;2323;Ate 5k;11992;1;Sim;Não;24;4;1;80;2;2;6;3;2;2;2;2
RM207;22;18-25;Não;Viaja_Raramente;1136;Pesquisa e Desenvolvimento;5;3;Ciências Humanas;1;284;4;Masculino;60;4;1;Cientista Pesquisador;2;Divorciado;2328;Ate 5k;12392;1;Sim;Sim;16;3;1;80;1;4;2;2;4;2;2;
RM384;22;18-25;Não;Viaja_Raramente;253;Pesquisa e Desenvolvimento;11;3;Médica;1;511;1;Feminino;43;3;1;Cientista Pesquisador;2;Casado;2244;Ate 5k;24440;1;Sim;Não;13;3;4;80;1;2;1;3;2;1;1;2
RM444;22;18-25;Sim;Viaja_Frequentemente;1368;Pesquisa e Desenvolvimento;4;1;Graduação Técnica;1;593;3;Masculino;99;2;1;Técnico de laboratório;3;Solteiro;3894;Ate 5k;9129;5;Sim;Não;16;3;3;80;0;4;3;3;2;2;1;2
RM499;22;18-25;Não;Viaja_Raramente;604;Pesquisa e Desenvolvimento;6;1;Médica;1;675;1;Masculino;69;3;1;Cientista Pesquisador;3;Casado;2773;Ate 5k;12145;0;Sim;Não;20;4;4;80;0;3;3;3;2;2;2;2
RM631;22;18-25;Não;Viaja_Raramente;1230;Pesquisa e Desenvolvimento;1;2;Ciências Humanas;1;872;4;Masculino;33;2;2;Diretor de Manufatura;4;Casado;4775;Ate 5k;19146;6;Sim;Não;22;4;1;80;2;4;2;1;2;2;2;2
RM667;22;18-25;Sim;Viaja_Raramente;617;Pesquisa e Desenvolvimento;3;1;Ciências Humanas;1;926;2;Feminino;34;3;2;Diretor de Manufatura;3;Casado;4171;Ate 5k;10022;0;Sim;Sim;19;3;1;80;1;4;3;4;3;2;0;2
RM735;22;18-25;Não;Viaja_Raramente;217;Pesquisa e Desenvolvimento;8;1;Ciências Humanas;1;1019;2;Masculino;94;1;1;Técnico de laboratório;1;Casado;2451;Ate 5k;6881;1;Sim;Não;15;3;1;80;1;4;3;2;4;3;1;1
RM861;22;18-25;Sim;Viaja_Frequentemente;1256;Pesquisa e Desenvolvimento;3;4;Ciências Humanas;1;1203;3;Masculino;48;2;1;Cientista Pesquisador;4;Casado;2853;Ate 5k;4223;0;Sim;Sim;11;3;2;80;1;1;5;3;0;0;0;0
RM1138;22;18-25;Não;Não_Viaja;457;Pesquisa e Desenvolvimento;26;2;Outro;1;1605;2;Feminino;85;2;1;Cientista Pesquisador;3;Casado;2814;Ate 5k;10293;1;Sim;Sim;14;3;2;80;0;4;2;2;4;2;1;3
RM1274;22;18-25;Sim;Viaja_Raramente;1294;Pesquisa e Desenvolvimento;8;1;Médica;1;1783;3;Feminino;79;3;1;Técnico de laboratório;1;Casado;2398;Ate 5k;15999;1;Sim;Sim;17;3;3;80;0;1;6;3;1;0;0;0
RM1340;22;18-25;Sim;Viaja_Raramente;391;Pesquisa e Desenvolvimento;7;1;Ciências Humanas;1;1878;4;Masculino;75;3;1;Cientista Pesquisador;2;Solteiro;2472;Ate 5k;26092;1;Sim;Sim;23;4;1;80;0;1;2;3;1;0;0;0
RM1424;22;18-25;Não;Viaja_Raramente;581;Pesquisa e Desenvolvimento;1;2;Ciências Humanas;1;2007;4;Masculino;63;3;1;Cientista Pesquisador;3;Solteiro;3375;Ate 5k;17624;0;Sim;Não;12;3;4;80;0;4;2;4;3;2;1;2
RM087;23;18-25;Não;Viaja_Raramente;541;Vendas;2;1;Graduação Técnica;1;113;3;Masculino;62;3;1;Representativo de Vendas;1;Divorciado;2322;Ate 5k;9518;3;Sim;Não;13;3;3;80;1;3;3;3;0;0;0;0
RM346;23;18-25;Não;Viaja_Raramente;1309;Pesquisa e Desenvolvimento;26;1;Ciências Humanas;1;465;3;Masculino;83;3;1;Cientista Pesquisador;4;Divorciado;2904;Ate 5k;16092;1;Sim;Não;12;3;3;80;2;4;2;2;4;2;0;2
RM517;23;18-25;Não;Viaja_Raramente;885;Pesquisa e Desenvolvimento;4;3;Médica;1;705;1;Masculino;58;4;1;Cientista Pesquisador;1;Casado;2819;Ate 5k;8544;2;Sim;Não;16;3;1;80;1;5;3;4;3;2;0;2
RM551;23;18-25;Não;Viaja_Raramente;650;Pesquisa e Desenvolvimento;9;1;Médica;1;758;2;Masculino;37;3;1;Técnico de laboratório;1;Casado;2500;Ate 5k;4344;1;Sim;Não;14;3;4;80;1;5;2;4;4;3;0;2
RM566;23;18-25;Não;Viaja_Raramente;310;Pesquisa e Desenvolvimento;10;1;Médica;1;784;1;Masculino;79;4;1;Cientista Pesquisador;3;Solteiro;3505;Ate 5k;19630;1;Sim;Não;18;3;4;80;0;2;3;3;2;2;0;2
RM586;23;18-25;Sim;Viaja_Raramente;1243;Pesquisa e Desenvolvimento;6;3;Ciências Humanas;1;811;3;Masculino;63;4;1;Técnico de laboratório;1;Casado;1601;Ate 5k;3445;1;Sim;Sim;21;4;3;80;2;1;2;3;0;0;0;0
RM911;23;18-25;Não;Viaja_Raramente;373;Pesquisa e Desenvolvimento;1;2;Ciências Humanas;1;1270;4;Masculino;47;3;1;Cientista Pesquisador;3;Casado;1223;Ate 5k;16901;1;Sim;Não;22;4;4;80;1;1;2;3;1;0;0;1
RM1083;23;18-25;Não;Viaja_Raramente;507;Pesquisa e Desenvolvimento;20;1;Ciências Humanas;1;1533;1;Masculino;97;3;2;Técnico de laboratório;3;Solteiro;2272;Ate 5k;24812;0;Sim;Não;14;3;2;80;0;5;2;3;4;3;1;2
RM1128;23;18-25;Não;Viaja_Raramente;977;Pesquisa e Desenvolvimento;10;3;Graduação Técnica;1;1592;4;Masculino;45;4;1;Cientista Pesquisador;3;Casado;2073;Ate 5k;12826;2;Sim;Não;16;3;4;80;1;4;2;3;2;2;2;2
RM1202;23;18-25;Sim;Viaja_Raramente;1320;Pesquisa e Desenvolvimento;8;1;Médica;1;1684;4;Masculino;93;2;1;Técnico de laboratório;3;Solteiro;3989;Ate 5k;20586;1;Sim;Sim;11;3;1;80;0;5;2;3;5;4;1;2
RM1214;23;18-25;Sim;Viaja_Raramente;427;Vendas;7;3;Ciências Humanas;1;1702;3;Masculino;99;3;1;Representativo de Vendas;4;Divorciado;2275;Ate 5k;25103;1;Sim;Sim;21;4;2;80;1;3;2;3;3;2;0;2
RM1239;23;18-25;Não;Viaja_Raramente;160;Pesquisa e Desenvolvimento;4;1;Médica;1;1735;3;Feminino;51;3;1;Técnico de laboratório;2;Solteiro;3295;Ate 5k;12862;1;Sim;Não;13;3;3;80;0;3;3;1;3;2;1;2
RM1409;23;18-25;Não;Viaja_Raramente;571;Pesquisa e Desenvolvimento;12;2;Outro;1;1982;4;Masculino;78;3;1;Técnico de laboratório;4;Solteiro;2647;Ate 5k;13672;1;Sim;Não;13;3;3;80;0;5;6;4;5;2;1;4
RM1439;23;18-25;Sim;Viaja_Frequentemente;638;Vendas;9;3;Marketing;1;2023;4;Masculino;33;3;1;Representativo de Vendas;1;Casado;1790;Ate 5k;26956;1;Sim;Não;19;3;1;80;1;1;3;2;1;0;1;0
RM021;24;18-25;Não;Não_Viaja;673;Pesquisa e Desenvolvimento;11;2;Outro;1;26;1;Feminino;96;4;2;Diretor de Manufatura;3;Divorciado;4011;Ate 5k;8232;0;Sim;Não;18;3;4;80;1;5;5;2;4;2;1;3
RM035;24;18-25;Sim;Viaja_Raramente;813;Pesquisa e Desenvolvimento;1;3;Médica;1;45;2;Masculino;61;3;1;Cientista Pesquisador;4;Casado;2293;Ate 5k;3020;2;Sim;Sim;16;3;1;80;1;6;2;2;2;0;2;0
RM097;24;18-25;Não;Viaja_Raramente;1353;Vendas;3;2;Outro;1;128;1;Feminino;33;3;2;Vendas Executive;3;Casado;4999;Ate 5k;17519;0;Sim;Não;21;4;1;80;1;4;2;2;3;2;0;2
RM114;24;18-25;Não;Viaja_Raramente;1127;Pesquisa e Desenvolvimento;18;1;Ciências Humanas;1;150;2;Masculino;52;3;1;Técnico de laboratório;3;Casado;2774;Ate 5k;13257;0;Sim;Não;12;3;3;80;1;6;2;3;5;3;1;2
RM381;24;18-25;Não;Viaja_Raramente;1371;Vendas;10;4;Marketing;1;507;4;Feminino;77;3;2;Vendas Executive;3;Divorciado;4260;Ate 5k;5915;1;Sim;Sim;12;3;4;80;1;5;2;4;5;2;0;3
RM415;24;18-25;Sim;Viaja_Raramente;1448;Vendas;1;1;Graduação Técnica;1;554;1;Feminino;62;3;1;Representativo de Vendas;2;Solteiro;3202;Ate 5k;21972;1;Sim;Sim;16;3;2;80;0;6;4;3;5;3;1;4
RM471;24;18-25;Não;Viaja_Frequentemente;535;Vendas;24;3;Médica;1;632;4;Masculino;38;3;1;Representativo de Vendas;4;Casado;2400;Ate 5k;5530;0;Sim;Não;13;3;3;80;2;3;3;3;2;2;2;1
RM475;24;18-25;Não;Viaja_Raramente;691;Pesquisa e Desenvolvimento;23;3;Médica;1;639;2;Masculino;89;4;1;Cientista Pesquisador;4;Casado;2725;Ate 5k;21630;1;Sim;Sim;11;3;2;80;2;6;3;3;6;5;1;4
RM477;24;18-25;Não;Viaja_Raramente;823;Pesquisa e Desenvolvimento;17;2;Outro;1;643;4;Masculino;94;2;1;Técnico de laboratório;2;Casado;2127;Ate 5k;9100;1;Sim;Não;21;4;4;80;1;1;2;3;1;0;0;0
RM480;24;18-25;Sim;Viaja_Frequentemente;1287;Pesquisa e Desenvolvimento;7;3;Ciências Humanas;1;647;1;Feminino;55;3;1;Técnico de laboratório;3;Casado;2886;Ate 5k;14168;1;Sim;Sim;16;3;4;80;1;6;4;3;6;3;1;2
RM526;24;18-25;Sim;Viaja_Raramente;693;Vendas;3;2;Ciências Humanas;1;720;1;Feminino;65;3;2;Vendas Executive;3;Solteiro;4577;Ate 5k;24785;9;Sim;Não;14;3;1;80;0;4;3;3;2;2;2;0
RM587;24;18-25;Não;Não_Viaja;1092;Pesquisa e Desenvolvimento;9;3;Ciências Humanas;1;812;3;Masculino;60;2;1;Técnico de laboratório;2;Divorciado;2694;Ate 5k;26551;1;Sim;Não;11;3;3;80;3;1;4;3;1;0;0;0
RM641;24;18-25;Não;Não_Viaja;1269;Pesquisa e Desenvolvimento;4;1;Ciências Humanas;1;888;1;Masculino;46;2;1;Técnico de laboratório;4;Casado;3162;Ate 5k;10778;0;Sim;Não;17;3;4;80;0;6;2;2;5;2;3;4
RM725;24;18-25;Não;Viaja_Raramente;1206;Pesquisa e Desenvolvimento;17;1;Médica;1;1009;4;Feminino;41;2;2;Diretor de Manufatura;3;Divorciado;4377;Ate 5k;24117;1;Sim;Não;15;3;2;80;2;5;6;3;4;2;3;2
RM842;24;18-25;Não;Viaja_Raramente;477;Pesquisa e Desenvolvimento;24;3;Médica;1;1173;4;Masculino;49;3;1;Técnico de laboratório;2;Solteiro;3597;Ate 5k;6409;8;Sim;Não;22;4;4;80;0;6;2;3;4;3;1;2
RM872;24;18-25;Sim;Viaja_Raramente;984;Pesquisa e Desenvolvimento;17;2;Ciências Humanas;1;1219;4;Feminino;97;3;1;Técnico de laboratório;2;Casado;2210;Ate 5k;3372;1;Sim;Não;13;3;1;80;1;1;3;1;1;0;0;0
RM1026;24;18-25;Não;Viaja_Raramente;1476;Vendas;4;1;Médica;1;1445;4;Feminino;42;3;2;Vendas Executive;3;Casado;4162;Ate 5k;15211;1;Sim;Sim;12;3;3;80;2;5;3;3;5;4;0;3
RM1061;24;18-25;Sim;Viaja_Frequentemente;381;Pesquisa e Desenvolvimento;9;3;Médica;1;1494;2;Masculino;89;3;1;Técnico de laboratório;1;Solteiro;3172;Ate 5k;16998;2;Sim;Sim;11;3;3;80;0;4;2;2;0;0;0;0
RM1062;24;18-25;Não;Não_Viaja;830;Vendas;13;2;Ciências Humanas;1;1495;4;Feminino;78;3;1;Representativo de Vendas;2;Casado;2033;Ate 5k;7103;1;Sim;Não;13;3;3;80;1;1;2;3;1;0;0;0
RM1098;24;18-25;Não;Viaja_Raramente;350;Pesquisa e Desenvolvimento;21;2;Graduação Técnica;1;1551;3;Masculino;57;2;1;Técnico de laboratório;1;Divorciado;2296;Ate 5k;10036;0;Sim;Não;14;3;2;80;3;2;3;3;1;1;0;0
RM1169;24;18-25;Não;Viaja_Frequentemente;567;Pesquisa e Desenvolvimento;2;1;Graduação Técnica;1;1646;1;Feminino;32;3;1;Cientista Pesquisador;4;Solteiro;3760;Ate 5k;17218;1;Sim;Sim;13;3;3;80;0;6;2;3;6;3;1;3
RM1218;24;18-25;Não;Viaja_Raramente;581;Pesquisa e Desenvolvimento;9;3;Médica;1;1707;3;Masculino;62;4;1;Cientista Pesquisador;3;Casado;4401;Ate 5k;17616;1;Sim;Não;16;3;4;80;1;5;1;3;5;3;0;4
RM1223;24;18-25;Sim;Viaja_Raramente;240;Recursos Humanos;22;1;Recursos Humanos;1;1714;4;Masculino;58;1;1;Recursos Humanos;3;Casado;1555;Ate 5k;11585;1;Sim;Não;11;3;3;80;1;1;2;3;1;0;0;0
RM1231;24;18-25;Não;Viaja_Raramente;506;Pesquisa e Desenvolvimento;29;1;Médica;1;1725;2;Masculino;91;3;1;Técnico de laboratório;1;Divorciado;3907;Ate 5k;3622;1;Sim;Não;13;3;2;80;3;6;2;4;6;2;1;2
RM1246;24;18-25;Não;Viaja_Frequentemente;897;Recursos Humanos;10;3;Médica;1;1746;1;Masculino;59;3;1;Recursos Humanos;4;Casado;2145;Ate 5k;2097;0;Sim;Não;14;3;4;80;1;3;2;3;2;2;2;1
RM1408;24;18-25;Não;Viaja_Raramente;771;Pesquisa e Desenvolvimento;1;2;Ciências Humanas;1;1981;2;Masculino;45;2;2;Representante de saúde;3;Solteiro;4617;Ate 5k;14120;1;Sim;Não;12;3;2;80;0;4;2;2;4;3;1;2
RM108;25;18-25;Sim;Viaja_Raramente;240;Vendas;5;3;Marketing;1;142;3;Masculino;46;2;2;Vendas Executive;3;Solteiro;5744;5k-10k;26959;1;Sim;Sim;11;3;4;80;0;6;1;3;6;4;0;3
RM109;25;18-25;Não;Viaja_Raramente;1280;Pesquisa e Desenvolvimento;7;1;Médica;1;143;4;Masculino;64;2;1;Cientista Pesquisador;4;Casado;2889;Ate 5k;26897;1;Sim;Não;11;3;3;80;2;2;2;3;2;2;2;1
RM139;25;18-25;Não;Viaja_Raramente;959;Vendas;28;3;Ciências Humanas;1;183;1;Masculino;41;2;2;Vendas Executive;3;Casado;8639;5k-10k;24835;2;Sim;Não;18;3;4;80;0;6;3;3;2;2;2;
RM256;25;18-25;Não;Viaja_Raramente;685;Pesquisa e Desenvolvimento;1;3;Ciências Humanas;1;350;1;Feminino;62;3;2;Diretor de Manufatura;3;Casado;4898;Ate 5k;7505;0;Sim;Não;12;3;4;80;2;5;3;3;4;2;1;
